    INFO: 2023-09-25 19:40:32,230:               log.py:   20: Logging to C:\Users\HP\Programming\notesscrapper\mdpdf.log
   DEBUG: 2023-09-25 19:40:32,292:      pdf_renderer.py:  470: printSegment: Economic Differences Split Virginia
   DEBUG: 2023-09-25 19:40:32,293:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-09-25 19:40:32,293:      pdf_renderer.py:  470: printSegment: Wealthy 
   DEBUG: 2023-09-25 19:40:32,293:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2023-09-25 19:40:32,293:      pdf_renderer.py:  470: printSegment: cavalier
   DEBUG: 2023-09-25 19:40:32,293:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2023-09-25 19:40:32,293:      pdf_renderer.py:  470: printSegment:  planters in Eastern VA represented by Governor Berkeley
   DEBUG: 2023-09-25 19:40:32,294:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-09-25 19:40:32,294:      pdf_renderer.py:  470: printSegment: Former indentured servants in Western VA and frontier represented by Nathaniel Bacon
   DEBUG: 2023-09-25 19:40:32,294:      pdf_renderer.py:  470: printSegment: Bacon
   DEBUG: 2023-09-25 19:40:32,294:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2023-09-25 19:40:32,294:      pdf_renderer.py:  470: printSegment: s Rebellion
   DEBUG: 2023-09-25 19:40:32,294:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-09-25 19:40:32,294:      pdf_renderer.py:  470: printSegment: Poor whites in the west, including former indentured servants, revolted against the VA government
   DEBUG: 2023-09-25 19:40:32,295:      pdf_renderer.py:  470: printSegment: because they resented the lack of protection from Native Americans and representation in the House
   DEBUG: 2023-09-25 19:40:32,295:      pdf_renderer.py:  470: printSegment: of Burgesses
   DEBUG: 2023-09-25 19:40:32,295:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-09-25 19:40:32,295:      pdf_renderer.py:  470: printSegment: Revolted and marched on and burned Jamestown
   DEBUG: 2023-09-25 19:40:32,295:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-09-25 19:40:32,295:      pdf_renderer.py:  470: printSegment: Led to more planters choosing African slaves over indentured servants due to the decreased
   DEBUG: 2023-09-25 19:40:32,295:      pdf_renderer.py:  470: printSegment: likelihood of revolt
   DEBUG: 2023-09-25 19:40:32,296:      pdf_renderer.py:  470: printSegment: Social and Religious
   DEBUG: 2023-09-25 19:40:32,296:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-09-25 19:40:32,296:      pdf_renderer.py:  470: printSegment: Social Structure: Dominated by family status and land ownership
   DEBUG: 2023-09-25 19:40:32,296:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-09-25 19:40:32,296:      pdf_renderer.py:  470: printSegment: Land Ownership: The wealthy owned plantations with slaves, the poor lived on the frontier
   DEBUG: 2023-09-25 19:40:32,296:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-09-25 19:40:32,296:      pdf_renderer.py:  470: printSegment: Political Structure: The aristocracy (wealthy elites) controlled the government
   DEBUG: 2023-09-25 19:40:32,297:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-09-25 19:40:32,297:      pdf_renderer.py:  470: printSegment: Religious Affiliation: Anglican (Church of England)
   DEBUG: 2023-09-25 19:40:32,297:      pdf_renderer.py:   53: 0, [1, 'Session 2: Exploration and Colonization - THE BRITISH SOUTHERN COLONIES', 1, 87.2]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 1, [2, 'The Southern Colonies', 1, 125.20000000000002]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 2, [2, 'The Southern Colonists', 1, 206.80000000000004]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 3, [3, 'The English Cavalier', 1, 240.00000000000006]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 4, [3, 'The Frontier Settler', 1, 316.8]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 5, [2, 'The Jamestown Colony: 1607', 1, 394.0]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 6, [3, 'Successes', 1, 559.1999999999999]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 7, [3, 'Problems', 1, 635.9999999999999]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 8, [2, 'Early Forms of Government', 2, 92.8]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 9, [2, 'European Treatment of Natives', 2, 186.4]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 10, [2, 'The Settlers Clash with Native Americans', 2, 304.00000000000006]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 11, [2, 'Economy of the South', 2, 421.6000000000001]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 12, [2, 'The Indentured Servant', 2, 539.2]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 13, [2, 'African Slavery', 2, 620.8]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 14, [2, 'Impact of the Slave Trade', 2, 702.3999999999999]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 15, [2, 'Economic Differences Split Virginia', 3, 134.8]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 16, [2, 'Bacon', 3, 204.40000000000003]
   DEBUG: 2023-09-25 19:40:32,298:      pdf_renderer.py:   53: 17, [2, 'Social and Religious', 3, 322.00000000000006]
